"Declaration Date","Incident Begin Date","Incident End Date","Declaration Type","State Name","Incident Type","Closeout Date","Region","State","County","City","Zip Code","Total Damage","Total Approved IHP Amount of Owner","Repair/Replace Amount of Owner","Rental Amount of Owner","Other Needs Amount of Owner","Total Approved IHP Amount of Renter","Repair/Replace Amount of Renter","Rental Amount of Renter","Other Needs Amount of Renter","lat","lon","Total_Support_Provided","Total_IHP_Approved_Amount","Support_Efficiency"
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Montgomery","CONROE",77302,272801.4,137444.27,58284.36,44534,33619.6,83762.57,0,32582,49638.12,30.2123622,-95.3311652,218658.08,221206.84,2548
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Orange","ORANGE",77630,435317.1,264267.9,144500.63,39256,80296.27,72196.19,0,12526,59670.19,30.0798014,-93.8451731,336249.09,336464.09,215
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Orange","VIDOR",77662,1024117.15,551265.47,343989.62,109110,97687.35,40561.05,0,12176,28385.05,30.1316001,-94.0154541,591348.02,591826.52,478
"11/14/02","11/5/02","11/12/02","Major Disaster","Alabama","Severe Storm","10/19/10",4,"AL","Walker","CARBON HILL",35549,1998699.73,372325.25,198596.19,45022,128457.06,143314.73,0,23838,119476.73,33.8917742,-87.5261236,515389.98,515639.98,250
"11/14/02","11/5/02","11/12/02","Major Disaster","Alabama","Severe Storm","10/19/10",4,"AL","Cherokee","CENTRE",35960,1838200.76,385339.46,177260.75,45881,160992.71,98279.89,0,8808,89471.89,34.1520406,-85.6788531,482414.35,483619.35,1205
"11/14/02","11/10/02","11/11/02","Major Disaster","Mississippi","Severe Storm","9/27/13",4,"MS","Lowndes","COLUMBUS",39702,325635.09,98013.36,51792.84,8937,37283.52,169805.02,0,15776,152752.63,33.4956744,-88.4272627,266541.99,267818.38,1276
"11/14/02","11/10/02","11/11/02","Major Disaster","Mississippi","Severe Storm","9/27/13",4,"MS","Lowndes","COLUMBUS",39701,1889660.79,471836.34,221061.2,67763,182805.88,1078852.64,0,175606,902433.77,33.4956744,-88.4272627,1549669.85,1550688.98,1019
"11/18/02","11/10/02","11/10/02","Major Disaster","Ohio","Severe Storm","3/5/09",5,"OH","Summit","TWINSBURG",44087,12447.77,0,0,0,0,1416.38,0,1312,0,41.3125552,-81.4401129,1312,1416.38,104
"12/4/02","10/23/02","12/20/02","Major Disaster","Alaska","Severe Storm","9/5/12",10,"AK","Kenai Peninsula (Borough)","NINILCHIK",99639,236545.28,40493.98,34943.58,2980,2244,0,0,0,0,60.0649004,-151.5083135,40167.58,40493.98,326
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","DEDEDO",96929,6036.31,8666.5,1858.4,2664,4144.1,12851957.9,1264.63,2525522,10318882.93,37.09024,-95.712891,12854336.06,12860624.4,6288
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","HARMON",96913,475795.37,252954.9,67102.04,54347,131505.86,906559.66,0,188212,718110.16,13.5073882,144.8153819,1159277.06,1159514.56,237
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","HARMON",96929,244802.91,165474.22,39878.91,32766,92829.31,491924.77,0,97758,392634.97,13.5073882,144.8153819,655867.19,657398.99,1531
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","CHALAN PAGO",96910,5220.07,3995.14,2192.67,0,1802.47,777503.79,1698.47,175753,599091.06,13.4381741,144.7686693,780537.67,781498.93,961
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","CHALAN PAGO",96910,2299377.56,1624920.67,496049.94,274546.08,854324.65,777503.79,1698.47,175753,599091.06,13.4381741,144.7686693,2401463.2,2402424.46,961
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","MONGMONG",96927,157639.86,105224.77,36926.2,15906,52392.57,205027.87,0,26934,177713.87,37.09024,-95.712891,309872.64,310252.64,380
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","ORDOT",96910,1012567.08,734971.45,185356.48,86884.71,460438.76,8655.92,0,1776,6879.92,37.09024,-95.712891,741335.87,743627.37,2291
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","AGANA HEIGHTS",96919,76268.31,71719.61,17956.68,13242,40520.93,67144.36,0,17572,48662.36,13.4677672,144.7453228,137953.97,138863.97,910
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","PITI",96915,1023574.43,525325.77,174339.06,81784.59,269202.12,275044.69,0,47608,226265.64,37.09024,-95.712891,799199.41,800370.46,1171
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","DEDEDO",96929,23209529.24,16071451.16,4210951.61,2972487.25,8885685.9,12851957.9,1264.63,2525522,10318882.93,37.09024,-95.712891,28914794.32,28923409.06,8614
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","TUMON",96913,107116.82,82433.87,20956.39,26185,34286.13,2104,0,2104,0,13.5005005,144.7955995,83531.52,84537.87,1006
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","DEDEDO",96929,70223.02,41733.66,13851.39,6621,21261.27,12851957.9,1264.63,2525522,10318882.93,37.09024,-95.712891,12887403.22,12893691.56,6288
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","BARRIGADA",96913,4459956.75,3444893.77,1006750.81,684225.35,1753429.61,2565766.35,0,537665,2023879.15,13.4707657,144.8181305,6005949.92,6010660.12,4710
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","MERIZO",96916,346083.48,332458.42,101991.52,56799,171730.95,116230.61,0,36058,80172.61,13.2681628,144.6917883,446752.08,448689.03,1936
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","TAMUNING",96913,1279907.02,957316.6,311133.47,235915,408085.66,3032587.49,0,807524,2219752.95,13.4671186,144.796969,3982411.08,3989904.09,7493
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","TAMUNING",96931,975814.12,661702.84,183594.54,174614,302791,1368989.15,0,365010,1003979.15,13.5027167,144.8016402,2029988.69,2030691.99,703
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","ORDOT",96910,1012567.08,734971.45,185356.48,86884.71,460438.76,542339.31,0,95790,446549.31,37.09024,-95.712891,1275019.26,1277310.76,2291
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","DEDEDO",96912,10125945.81,6522004.54,1776899.42,1148940.93,3594112.52,3228410.92,0,585340,2640518.22,13.515531,144.8346748,9745811.09,9750415.46,4604
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","TUMON",96913,107116.82,82433.87,20956.39,26185,34286.13,523989.99,0,171886,346010.38,13.5005005,144.7955995,599323.9,606423.86,7099
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","PITI",96915,5434.35,8590.35,428,3156,5006.35,275044.69,0,47608,226265.64,37.09024,-95.712891,282463.99,283635.04,1171
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","SINAJANA",96910,1064192.64,814161.92,210117.14,145131,457914.78,960661.21,0,140944,819193.21,13.4599535,144.7659223,1773300.13,1774823.13,1523
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","YIGO",96929,19311771.66,12075948.28,3390877.11,1923012.58,6760299.24,6634945.71,2109.44,1371229,5261347.27,13.444304,144.793731,18708874.64,18710893.99,2019
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","YIGO",96929,19311771.66,12075948.28,3390877.11,1923012.58,6760299.24,0,0,0,0,13.444304,144.793731,12074188.93,12075948.28,1759
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","INARAJAN",96917,993944.53,840837.12,239648.62,130665.12,468357.88,285924.02,0,54454,230420.02,13.2745433,144.7488368,1123545.64,1126761.14,3215
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","YONA",96914,813975.51,651123.12,174878.72,130227,345166.03,231377.63,0,26072,205305.63,37.09024,-95.712891,881649.38,882500.75,851
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","TAMUNING",96911,326969.78,263386.24,91908.45,69196,101744.29,573150.72,0,170510,402640.72,13.5027167,144.8016402,835999.46,836536.96,537
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","CHALAN PAGO",96910,1106.17,1106.17,172.09,0,934.08,777503.79,1698.47,175753,599091.06,13.4381741,144.7686693,777648.7,778609.96,961
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","SANTA RITA",96915,1050688.74,1090652.47,303461.59,355507,430836.58,821000.6,270,265314,555416.6,13.3742669,144.7082568,1910805.77,1911653.07,847
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","MANGILAO",96913,6432644.36,4274939.78,1224773.74,599346,2450505.04,3779.15,0,1776,2003.15,13.4671186,144.796969,4278403.93,4278718.93,315
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","TUMON",96913,4581.96,7737.96,1845.41,3156,2736.55,523989.99,0,171886,346010.38,13.5005005,144.7955995,525634.34,531727.95,6093
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","MANGILAO",96913,6432644.36,4274939.78,1224773.74,599346,2450505.04,3788570.41,0,661046,3127524.41,13.4671186,144.796969,8063195.19,8063510.19,315
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","TALOFOFO",96915,3228854.33,2151382.02,603802.48,423246,1124133.54,1077111.13,0,260132,816979.13,13.3383141,144.7302198,3228293.15,3228493.15,200
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","YONA",96915,2993054.39,2138847.69,598202.11,360561,1177852.76,1585980.16,0,271862,1314118.16,37.09024,-95.712891,3722596.03,3724827.85,2231
"12/8/02","12/8/02","12/16/02","Major Disaster","Guam","Typhoon","3/11/13",9,"GU","Guam (County-equivalent)","MANGILAO",96923,2009628.56,1234172.77,365114.9,146901,720837.97,1032607.33,0,191410,841197.33,13.4702123,144.8456217,2265461.2,2266780.1,1318
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Gallia","CHESHIRE",45620,1875.12,125.77,0,0,71.2,836.08,0,0,836.08,38.9527446,-82.1496049,907.28,961.85,54
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Gallia","CROWN CITY",45623,25089.63,21192.25,11096.7,1118,7716.82,1555.6,0,439,1116.6,38.5909166,-82.2829266,21487.12,22747.85,1260
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Gallia","GALLIPOLIS",45631,173523.24,87863.32,41012.2,2530,43873.98,7727.79,0,0,7232.18,38.809803,-82.2023691,94648.36,95591.11,942
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Lawrence","OAK HILL",45656,9781.57,8838.04,8429.68,0,222.72,0,0,0,0,38.8939645,-82.573495,8652.4,8838.04,185
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Jackson","JACKSON",45640,49487.99,43758.34,29491.77,706,13560.57,8786.78,0,1876,6455.52,39.0520169,-82.6365536,52089.86,52545.12,455
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Scioto","STOUT",45684,108431.52,80142.45,35926.75,2290,41859.4,12468.67,0,5843,6625.67,38.6638829,-83.3791512,92544.82,92611.12,66
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Scioto","WEST PORTSMOUTH",45663,419840.45,278939.31,194230.45,28118,55872.71,20481.45,0,6986,13495.45,38.7584091,-83.0290644,298702.61,299420.76,718
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Scioto","SOUTH WEBSTER",45682,107278.47,104364.74,69324.6,6110,28640.78,23381.29,0,6610,16771.29,38.8134097,-82.7268333,127456.67,127746.03,289
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Scioto","WHEELERSBURG",45694,170184.65,139073.08,86712.18,7429,44662.26,17813.06,0,2754,15059.06,38.7303549,-82.8554477,156616.5,156886.14,269
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Meigs","POMEROY",45769,28761.37,27130.43,19881.34,1756,5392.05,3437.21,0,912,2525.21,39.0275781,-82.033752,30466.6,30567.64,101
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Lawrence","IRONTON",45638,48287.19,60353.37,31227.3,3834,25148.82,5054.73,0,762,4292.73,38.5367471,-82.6829406,65264.85,65408.1,143
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Scioto","PORTSMOUTH",45662,460601.09,348693.75,207838.18,20867,117377.38,75423.84,0,17099,56689.58,38.7317431,-82.9976742,419871.14,424117.59,4246
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Scioto","MC DERMOTT",45652,39877.03,36487.54,27653.46,878,7637.84,1385.9,0,0,1385.9,38.8349526,-83.0640603,37555.2,37873.44,318
"3/14/03","2/14/03","3/18/03","Major Disaster","Ohio","Severe Storm","1/20/11",5,"OH","Lawrence","SOUTH POINT",45680,4974.52,2718.34,1252.15,938,528.19,3356.19,0,762,1658.15,38.4178597,-82.5862699,5138.49,6074.53,936
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Carter","GRAYSON",41143,102985.19,87820.49,84664.27,0,2899.28,6777.38,0,4854,1923.38,38.3325812,-82.9485023,94340.93,94597.87,256
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Carter","OLIVE HILL",41164,595360.65,495262.61,384906.87,19100,89674.35,8658.78,0,1700,6508.78,38.3000809,-83.1740654,501890,503921.39,2031
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Anderson","LAWRENCEBURG",40342,16399.86,15776.27,11268.61,0,4037.38,317.22,0,0,0,38.0372967,-84.8966171,15305.99,16093.49,787
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Fayette","LEXINGTON",40502,60508.65,43118.58,26996.51,918,8786.2,6775.27,0,1532,3362.87,38.013412,-84.485507,41595.58,49893.85,8298
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Fayette","LEXINGTON",40503,116920.24,85827.86,54997.51,3624,23554.15,6976.04,0,918,5031.17,38.0103355,-84.5327038,88124.83,92803.9,4679
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Fayette","LEXINGTON",40504,36609.5,34715.26,20419.72,0,11983.39,4334.87,0,918,1090.97,38.0369642,-84.5379455,34412.08,39050.13,4638
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Fayette","LEXINGTON",40505,65338.11,53127.02,28214.17,2044,19545.21,18907.86,0,6031,11272.81,38.05414,-84.4540213,67107.19,72034.88,4927
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Fayette","LEXINGTON",40508,28059.9,26678.42,20376.21,918,5063.99,13493.45,0,3576,9917.45,38.0488113,-84.5091102,39851.65,40171.87,320
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Fayette","LEXINGTON",40509,3622.71,4817.67,762.41,0,3315.95,0,0,0,0,37.9923606,-84.375233,4078.36,4817.67,739
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Fayette","LEXINGTON",40511,41499.3,38314.23,24306.2,1126,10788.83,15857.81,0,2143,11296.55,38.1248882,-84.5012435,49660.58,54172.04,4511
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Fayette","LEXINGTON",40515,15377.54,14176.09,5536.07,0,8010.43,28275.48,0,3064,24846.33,37.9098504,-84.4172666,41456.83,42451.57,994
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Fayette","LEXINGTON",40517,46619.94,30078.41,20697.82,2450,6829.57,1617.44,0,459,0,37.9817391,-84.485507,30436.39,31695.85,1259
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Fleming","FLEMINGSBURG",41041,6615.98,4148.4,3786.05,0,52.8,368.08,0,0,368.08,38.4222995,-83.7338076,4206.93,4516.48,309
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Greenup","GREENUP",41144,210750.81,96966.3,67065.97,4924,24765.12,11136.18,0,1196,9428.2,38.5731349,-82.8301677,107379.29,108102.48,723
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Greenup","SOUTH PORTSMOUTH",41174,44371.31,39029.93,27887.49,0,11060.08,5204.87,0,762,4442.87,38.7245208,-83.0132301,44152.44,44234.8,82
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Greenup","SOUTH SHORE",41175,473576.49,259870.25,156747.87,11297,91667.99,27254.25,0,3605,23539.6,38.72091,-82.9582284,286857.46,287124.5,267
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Nicholas","CARLISLE",40311,31740.13,30882.04,24856.52,1386,4131.31,1175.51,0,0,1175.51,38.3120197,-84.027427,31549.34,32057.55,508
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Knox","FLAT LICK",40935,49091.28,61131.83,45048.66,10576,5507.17,18625.05,0,2814,15697.05,36.8299842,-83.7700313,79642.88,79756.88,114
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Lewis","FIREBRICK",41137,68429.16,35248.56,17244.24,620,17239.12,5093.4,0,1386,3707.4,38.6875766,-83.0471199,40196.76,40341.96,145
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Lewis","GARRISON",41141,188231.51,192448.08,96931.72,3611,91481.1,9545.09,0,1532,8013.09,38.6058757,-83.1741035,201568.91,201993.17,424
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Lewis","TOLLESBORO",41189,19892.86,18249.95,9143.59,0,8610.28,4718.9,0,766,3952.9,38.5595201,-83.5760258,22472.77,22968.85,496
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Lewis","VANCEBURG",41179,235353.04,253436.06,113804.65,9337,128986.57,26580.67,0,5273,21307.67,38.599243,-83.3187952,278708.89,280016.73,1307
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Mason","EWING",41039,947.45,1536.4,947.45,0,0,714.87,0,0,714.87,38.4272984,-83.8632557,1662.32,2251.27,588
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Mason","MAYSVILLE",41056,14338.49,16758.89,6672.65,766,8561.02,1534.05,0,0,1258.63,38.6411854,-83.744365,17258.3,18292.94,1034
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Rowan","MOREHEAD",40351,375235.58,148069.78,101232.11,8040,37194.65,0,0,0,0,38.1839705,-83.4326841,146466.76,148069.78,1603
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Woodford","VERSAILLES",40383,55010.48,43179.04,25702.95,918,15543.51,5591.52,0,0,4552.29,38.052576,-84.7299464,46716.75,48770.56,2053
"3/14/03","2/15/03","2/26/03","Major Disaster","Kentucky","Severe Storm","9/8/16",4,"KY","Elliott","SANDY HOOK",41171,32178.43,30891.78,24120.99,766,5767.55,2713.73,0,1386,1327.73,38.0864739,-83.1262839,33368.27,33605.51,237
"3/14/03","2/16/03","3/28/03","Major Disaster","West Virginia","Severe Storm","8/12/10",3,"WV","Jackson","COTTAGEVILLE",25239,20252.71,21814.09,12716.09,1942,7156,141.54,0,0,15.2,38.8656381,-81.8234667,21829.29,21955.63,126
"3/14/03","2/16/03","3/28/03","Major Disaster","West Virginia","Severe Storm","8/12/10",3,"WV","Nicholas","SUMMERSVILLE",26651,24675.38,24203.12,17340.59,1556,5145.01,687.94,0,0,687.94,38.2812203,-80.8525981,24729.54,24891.06,161
"3/14/03","2/16/03","3/28/03","Major Disaster","West Virginia","Severe Storm","8/12/10",3,"WV","Roane","REEDY",25270,16742.1,17818.9,13818.58,1057,2812.62,1189.23,0,0,1189.23,38.8995287,-81.4248433,18877.43,19008.13,130
"3/14/03","2/16/03","3/28/03","Major Disaster","West Virginia","Severe Storm","8/12/10",3,"WV","Jackson","KENNA",25248,15026.97,13808.46,9528.84,0,4279.62,643.23,0,0,466.65,38.6764777,-81.6601279,14275.11,14451.69,176
"3/14/03","2/16/03","3/28/03","Major Disaster","West Virginia","Severe Storm","8/12/10",3,"WV","Jackson","RIPLEY",25271,107800.29,61957.73,33508.04,3976,24030.2,3904.07,0,1064,2518.52,38.8186957,-81.7106851,65096.76,65861.8,765
"3/14/03","2/16/03","3/28/03","Major Disaster","West Virginia","Severe Storm","8/12/10",3,"WV","Jackson","SANDYVILLE",25275,18269.08,16056.62,15057.74,342,656.88,1179.64,0,0,884.68,38.905916,-81.6606834,16941.3,17236.26,294
"3/14/03","2/16/03","3/28/03","Major Disaster","West Virginia","Severe Storm","8/12/10",3,"WV","Kanawha","CHARLESTON",25314,37720.23,17894.85,13187.73,4674,0,6240.2,0,832,5408.2,38.3053227,-81.6802054,24101.93,24135.05,33
"3/14/03","2/16/03","3/28/03","Major Disaster","West Virginia","Severe Storm","8/12/10",3,"WV","Lincoln","WEST HAMLIN",25571,74099.36,31875.6,16578.77,1446,13720.06,7601.76,0,1500,6101.76,38.2856444,-82.1956978,39346.59,39477.36,130
"3/14/03","2/16/03","3/28/03","Major Disaster","West Virginia","Severe Storm","8/12/10",3,"WV","Mason","APPLE GROVE",25502,27841.76,24262.47,18011.98,0,6076.85,0,0,0,0,38.6650835,-82.1690337,24088.83,24262.47,173
"3/14/03","2/16/03","3/28/03","Major Disaster","West Virginia","Severe Storm","8/12/10",3,"WV","Mason","FRAZIERS BOTTOM",25082,107.43,0,0,0,0,231.15,0,0,0,38.5384357,-82.0663946,0,231.15,231
